Date;Open;High;Low;Close
28/08/2023 11:00;116200.16;116375.22;116100.09;116283.23
28/08/2023 10:45;116227.84;116349.65;116116.69;116225.61
28/08/2023 10:30;116229.48;116279.36;115835.71;116183.28
28/08/2023 10:15;116187.02;116237.34;115929.86;116181.22
28/08/2023 10:00;115838.36;116298.30;115838.05;116177.70
25/08/2023 16:45;115986.89;116030.02;115837.20;115837.20
25/08/2023 16:30;116063.90;116142.64;115994.56;116016.68
25/08/2023 16:15;115943.41;116111.62;115942.97;116080.29
25/08/2023 16:00;116051.79;116135.50;115881.38;115950.07
25/08/2023 15:45;115986.42;116072.49;115978.80;116051.97
25/08/2023 15:30;116050.28;116069.05;115988.68;115990.97
25/08/2023 15:15;115811.70;116078.27;115775.50;116071.23
25/08/2023 15:00;115687.61;115823.68;115687.61;115823.68
25/08/2023 14:45;115592.42;115693.41;115545.37;115683.50
25/08/2023 14:30;115634.62;115634.62;115428.66;115553.70
25/08/2023 14:15;115826.32;115842.65;115622.64;115625.42
25/08/2023 14:00;115844.64;115907.93;115773.25;115800.60
25/08/2023 13:45;115725.62;115867.71;115724.14;115852.92
25/08/2023 13:30;115755.85;115871.38;115702.89;115723.20
25/08/2023 13:15;115556.97;115778.83;115547.30;115757.08
25/08/2023 13:00;115462.85;115557.33;115416.29;115557.33
25/08/2023 12:45;115686.86;115686.86;115396.62;115483.30
25/08/2023 12:30;115912.18;115946.57;115669.97;115670.47
25/08/2023 12:15;115781.62;115935.23;115734.21;115935.23
25/08/2023 12:00;115625.02;115781.05;115607.72;115754.02
25/08/2023 11:45;115737.01;115737.01;115594.72;115618.88
25/08/2023 11:30;116199.66;116202.26;115743.87;115743.87
25/08/2023 11:15;116353.89;116563.36;116180.03;116230.56
25/08/2023 11:00;116382.59;116562.53;116144.05;116360.95
25/08/2023 10:45;116378.80;116603.66;116315.74;116399.92
25/08/2023 10:30;116496.16;116635.12;116358.24;116396.12
25/08/2023 10:15;116849.27;116913.31;116435.41;116466.65
25/08/2023 10:00;117025.02;117252.11;116843.51;116858.09
24/08/2023 16:45;116961.12;117025.60;116916.08;117025.60
24/08/2023 16:30;117208.23;117213.82;116941.93;116977.07
24/08/2023 16:15;117241.57;117247.36;117143.20;117196.30
24/08/2023 16:00;117170.87;117260.66;117136.82;117238.30
24/08/2023 15:45;117088.15;117168.69;117053.50;117140.14
24/08/2023 15:30;117193.36;117201.40;117026.48;117087.47
24/08/2023 15:15;117095.62;117161.77;117018.51;117161.77
24/08/2023 15:00;117245.99;117315.16;117042.94;117118.62
24/08/2023 14:45;117056.81;117272.55;117029.66;117242.56
24/08/2023 14:30;117089.23;117180.07;117078.72;117082.30
24/08/2023 14:15;117189.11;117210.76;117071.67;117103.36
24/08/2023 14:00;117222.25;117294.49;117154.76;117203.54
24/08/2023 13:45;117230.93;117368.49;117159.77;117216.05
24/08/2023 13:30;117154.98;117214.84;116994.64;117214.84
24/08/2023 13:15;117015.14;117268.70;117015.14;117166.95
24/08/2023 13:00;116890.32;117011.62;116890.32;117011.62
24/08/2023 12:45;116927.81;116960.83;116873.11;116890.94
24/08/2023 12:30;116943.68;116960.78;116847.66;116931.47
24/08/2023 12:15;117051.79;117127.19;116880.73;116937.98
24/08/2023 12:00;117335.62;117351.74;117116.47;117137.73
24/08/2023 11:45;117534.55;117585.08;117300.32;117326.86
24/08/2023 11:30;117691.76;117735.26;117555.15;117573.97
24/08/2023 11:15;117825.98;117839.44;117681.94;117737.62
24/08/2023 11:00;118029.71;118064.71;117690.24;117799.13
24/08/2023 10:45;117605.27;118017.25;117605.27;117982.82
24/08/2023 10:30;117637.86;117731.25;117533.92;117590.19
24/08/2023 10:15;117586.91;117618.91;117451.73;117618.91
24/08/2023 10:00;118135.08;118135.57;117553.17;117553.17
23/08/2023 16:45;117972.46;118134.59;117914.52;118134.59
23/08/2023 16:30;118005.45;118018.67;117914.00;117972.73
23/08/2023 16:15;118006.25;118039.15;117982.35;118008.95
23/08/2023 16:00;117853.56;118013.35;117846.27;117985.71
23/08/2023 15:45;117865.76;117899.06;117813.86;117847.95
23/08/2023 15:30;117677.89;117885.89;117665.02;117868.09
23/08/2023 15:15;117832.11;117847.06;117698.40;117703.84
23/08/2023 15:00;117834.25;117896.31;117803.92;117818.34
23/08/2023 14:45;117883.09;117893.97;117796.86;117835.02
23/08/2023 14:30;117926.84;117964.21;117871.89;117918.21
23/08/2023 14:15;117856.69;117989.52;117847.83;117971.18
23/08/2023 14:00;117922.05;118001.94;117843.09;117843.09
23/08/2023 13:45;117950.73;117981.92;117912.42;117916.64
23/08/2023 13:30;117833.51;117968.44;117830.51;117968.44
23/08/2023 13:15;117826.87;117887.66;117767.58;117887.66
23/08/2023 13:00;117723.13;117846.17;117682.33;117846.17
23/08/2023 12:45;117647.80;117752.25;117618.50;117693.52
23/08/2023 12:30;117547.52;117716.49;117485.00;117637.99
23/08/2023 12:15;117570.22;117610.69;117529.09;117529.09
23/08/2023 12:00;117514.11;117606.55;117470.55;117581.06
23/08/2023 11:45;117472.19;117545.09;117437.94;117545.09
23/08/2023 11:30;117402.38;117465.81;117196.14;117465.81
23/08/2023 11:15;117264.03;117376.44;117260.44;117374.85
23/08/2023 11:00;117327.04;117362.39;117197.78;117287.87
23/08/2023 10:45;116921.87;117324.07;116921.87;117322.38
23/08/2023 10:30;116874.74;117052.89;116810.49;117003.17
23/08/2023 10:15;116753.06;116855.55;116551.08;116855.55
23/08/2023 10:00;116159.67;116703.16;116158.89;116703.16
22/08/2023 16:45;116206.05;116208.17;116148.94;116156.01
22/08/2023 16:30;116203.18;116213.18;116118.78;116213.18
22/08/2023 16:15;116131.47;116285.57;116091.70;116186.39
22/08/2023 16:00;115942.20;116206.76;115942.20;116160.28
22/08/2023 15:45;115974.95;115991.06;115897.66;115934.71
22/08/2023 15:30;115799.10;116002.52;115796.27;116002.52
22/08/2023 15:15;115749.82;115810.40;115693.94;115804.93
22/08/2023 15:00;115619.69;115786.54;115573.57;115725.19
22/08/2023 14:45;115613.94;115613.94;115485.61;115603.74
22/08/2023 14:30;115456.38;115609.22;115402.53;115598.89
22/08/2023 14:15;115322.60;115401.21;115201.49;115394.38
22/08/2023 14:00;115464.85;115464.85;115249.62;115313.37
22/08/2023 13:45;115461.80;115511.84;115432.81;115461.51
22/08/2023 13:30;115394.76;115485.16;115290.47;115455.86
22/08/2023 13:15;115437.66;115480.15;115308.22;115375.76
22/08/2023 13:00;115420.58;115542.41;115420.58;115435.47
22/08/2023 12:45;115621.31;115624.96;115428.47;115428.47
22/08/2023 12:30;115459.80;115600.68;115400.88;115600.68
22/08/2023 12:15;115505.89;115505.89;115396.44;115459.02
22/08/2023 12:00;115555.87;115610.81;115416.84;115529.01
22/08/2023 11:45;115521.39;115623.44;115480.34;115545.92
22/08/2023 11:30;115295.12;115512.19;115268.35;115512.19
22/08/2023 11:15;115452.11;115665.98;115219.62;115302.05
22/08/2023 11:00;115431.24;115494.38;115338.65;115494.38
22/08/2023 10:45;115288.73;115451.14;115159.76;115451.14
22/08/2023 10:30;115626.47;115750.14;115302.71;115395.60
22/08/2023 10:15;115480.89;115668.96;115302.03;115660.13
22/08/2023 10:00;114433.39;115481.46;114433.39;115356.79
21/08/2023 16:45;114398.12;114454.65;114352.55;114429.35
21/08/2023 16:30;114450.39;114529.95;114342.25;114404.22
21/08/2023 16:15;114430.05;114541.92;114430.05;114443.83
21/08/2023 16:00;114376.92;114481.28;114376.92;114411.78
21/08/2023 15:45;114330.70;114435.42;114327.88;114363.62
21/08/2023 15:30;114264.59;114430.70;114248.83;114320.09
21/08/2023 15:15;114350.41;114378.80;114285.86;114285.86
21/08/2023 15:00;114154.21;114336.53;114154.21;114333.75
21/08/2023 14:45;114238.23;114258.17;114133.92;114175.01
21/08/2023 14:30;114286.49;114361.21;114235.62;114235.62
