Date;Open;High;Low;Close;Volume
2020-06-30 16:00:00;95374.13;95813.14;94921.64;95055.82;296516300
2020-06-30 15:00:00;95606.20;95927.43;95381.17;95406.23;129396200
2020-06-30 14:00:00;95724.44;95849.38;95490.60;95631.59;96141000
2020-06-30 13:00:00;95732.42;96127.47;95665.02;95725.48;87596100
2020-06-30 12:00:00;96157.31;96257.30;95733.01;95733.01;91137500
2020-06-30 11:00:00;94958.72;96187.73;94835.20;96187.73;137202100
2020-06-30 10:00:00;95727.60;95727.60;94806.47;94967.06;184834300
2020-06-29 16:00:00;95062.40;95735.35;94931.58;95735.35;172525000
2020-06-29 15:00:00;95151.51;95382.61;94939.51;95090.78;102897100
2020-06-29 14:00:00;94919.73;95307.63;94842.38;95141.60;101318700
2020-06-29 13:00:00;94495.55;95213.52;94355.93;94952.53;116576200
2020-06-29 12:00:00;94649.94;94814.34;94309.76;94527.28;93083000
2020-06-29 11:00:00;94145.48;95099.85;94123.28;94689.87;142346000
2020-06-29 10:00:00;93836.94;94800.98;93825.27;94063.79;162135400
2020-06-26 16:00:00;93853.20;93895.88;93513.70;93834.49;208599800
2020-06-26 15:00:00;94184.29;94350.55;93742.38;93851.33;102457600
2020-06-26 14:00:00;94811.43;94882.87;94259.87;94296.82;70130800
2020-06-26 13:00:00;94905.35;94905.35;94465.02;94819.67;60720000
2020-06-26 12:00:00;94966.27;95253.47;94518.12;94899.95;97409800
2020-06-26 11:00:00;95455.02;95455.02;94745.70;94935.08;138678900
2020-06-26 10:00:00;95979.03;95979.03;94972.45;95373.80;166407900
2020-06-25 16:00:00;95137.16;96259.70;95038.96;95983.09;191258200
2020-06-25 15:00:00;94886.91;95198.13;94540.81;95157.68;81345000
2020-06-25 14:00:00;94825.46;94961.49;94443.07;94861.03;84145800
2020-06-25 13:00:00;94833.73;95162.48;94740.56;94841.40;83330300
2020-06-25 12:00:00;94983.39;95255.75;94498.68;94805.56;101098300
2020-06-25 11:00:00;94437.27;95394.20;94437.27;95000.97;163142500
2020-06-25 10:00:00;94382.05;95032.46;94151.83;94376.32;170700600
2020-06-24 16:00:00;94220.08;94656.08;94220.08;94377.36;173440400
2020-06-24 15:00:00;94137.94;94608.80;93836.74;94247.18;96636100
2020-06-24 14:00:00;94137.72;94199.47;93631.51;94119.16;108685800
2020-06-24 13:00:00;93607.13;94138.67;93504.29;94111.62;101799400
2020-06-24 12:00:00;94193.42;94337.28;93259.07;93587.55;161943000
2020-06-24 11:00:00;95130.88;95501.61;94206.50;94206.50;168076300
2020-06-24 10:00:00;95973.81;95973.81;95144.81;95148.65;186265900
2020-06-23 16:00:00;95939.82;96090.88;95721.98;95975.16;191858700
2020-06-23 15:00:00;96047.24;96047.24;95674.91;95915.12;138036500
2020-06-23 14:00:00;96601.86;96601.86;95942.58;96048.85;107902300
2020-06-23 13:00:00;96827.05;96838.60;96557.03;96643.82;86849400
2020-06-23 12:00:00;97131.40;97485.59;96640.12;96811.19;119987900
2020-06-23 11:00:00;96448.85;97279.71;96268.39;97107.77;155852000
2020-06-23 10:00:00;95343.52;96728.30;95343.52;96416.82;174782700
